Lat,emmean,lower.HPD,upper.HPD,Major.group
-13.48,27.17349902,21.72772692,32.26487172,Reptile
-13.23,27.23265576,21.78534431,32.34245869,Reptile
-12.98,27.29060237,21.83669872,32.42918165,Reptile
-12.73,27.3519646,21.90973202,32.53049366,Reptile
-12.48,27.41262799,21.90464629,32.56917236,Reptile
-12.23,27.47793533,22.01431106,32.68240484,Reptile
-11.98,27.5375561,22.0605269,32.72781646,Reptile
-11.73,27.59424893,22.11102248,32.8610575,Reptile
-11.48,27.66004852,22.10655209,32.89892353,Reptile
-11.23,27.72519436,22.16443556,32.99876573,Reptile
-10.98,27.78270519,22.21639342,33.07536523,Reptile
-10.73,27.83725794,22.26390379,33.16358609,Reptile
-10.48,27.89955832,22.29494349,33.22070144,Reptile
-10.23,27.95978623,22.3259832,33.28307081,Reptile
-9.98,28.01606554,22.44824708,33.43192731,Reptile
-9.73,28.07473492,22.46143632,33.47277223,Reptile
